question,totalMarks,grammarwt,Keywordswt,similarityWt
1,5,10,40,50
2,5,20,50,30
3,5,20,50,30
4,5,20,50,30
5,5,20,50,30
6,5,20,50,30
7,5,20,50,30
8,5,20,50,30
9,5,20,50,30
10,5,20,50,30
11,5,20,50,30
12,5,20,50,30
13,5,20,50,30
14,5,20,50,30
15,5,20,50,30
16,5,20,50,30
17,5,20,50,30
18,5,10,40,50
19,5,20,50,30
20,5,20,50,30
21,5,20,50,30
22,5,20,50,30
23,5,20,50,30
24,5,20,50,30
25,5,20,50,30
26,5,20,50,30
27,5,20,50,30
28,5,20,50,30
29,5,20,50,30
30,5,20,50,30
31,5,20,50,30
32,5,20,50,30
33,5,20,50,30
34,5,20,50,30
35,5,20,50,30
36,5,20,50,30
37,5,20,50,30
38,5,20,50,30
39,5,20,50,30
40,5,20,50,30
41,5,20,50,30
42,5,20,50,30
43,5,20,50,30
44,5,20,50,30
45,5,20,50,30
46,5,20,50,30
47,5,20,50,30
48,5,20,50,30
49,5,20,50,30
50,5,20,50,30
51,5,10,40,50
52,5,20,50,30
53,5,10,40,50
54,5,10,40,50
55,5,10,40,50
56,5,10,40,50
57,5,20,50,30
58,5,20,50,30
59,5,20,50,30
60,5,20,50,30
61,5,20,50,30
62,5,20,50,30
63,5,20,50,30
64,5,20,50,30
65,5,20,50,30
66,5,10,40,50
67,5,10,40,50
68,5,20,50,30
69,5,20,50,30
70,5,20,50,30
71,5,20,50,30
72,5,20,50,30
73,5,20,50,30
74,5,20,50,30
75,5,20,50,30
76,5,20,50,30
77,5,20,50,30
78,5,20,50,30
79,5,20,50,30
80,5,20,50,30
81,5,20,50,30
82,5,20,50,30
83,5,20,50,30
84,5,20,50,30
85,5,20,50,30
86,5,20,50,30
87,5,20,50,30
88,5,20,50,30
89,5,20,50,30
90,5,20,50,30
91,5,20,50,30
92,5,20,50,30
93,5,20,50,30
94,5,20,50,30
95,5,10,40,50
96,5,20,50,30
97,5,20,50,30
98,5,20,50,30
99,5,20,50,30
100,5,20,50,30
101,5,20,50,30
102,5,20,50,30
103,5,20,50,30
104,5,20,50,30
105,5,20,50,30
106,5,20,50,30
107,5,20,50,30
108,5,20,50,30
109,5,20,50,30
110,5,20,50,30
111,5,15,60,25
112,5,20,50,30
113,5,20,50,30
114,5,20,50,30
115,5,20,50,30
116,5,20,50,30
117,5,20,50,30
118,5,20,50,30
119,5,20,50,30
120,5,20,50,30
121,5,20,50,30
122,5,20,50,30
123,5,20,50,30
124,5,20,50,30
125,5,20,50,30
126,5,20,50,30
127,5,20,50,30
128,5,20,50,30
129,5,20,50,30
130,5,20,50,30
131,5,20,50,30
132,5,20,50,30
133,5,20,50,30
134,5,20,50,30
135,5,15,60,25
136,5,20,50,30
137,5,20,50,30
138,5,20,50,30
139,5,20,50,30
140,5,20,50,30
141,5,20,50,30
142,5,20,50,30
143,5,20,50,30
144,5,20,50,30
145,5,20,50,30
146,5,20,50,30
147,5,20,50,30
148,5,20,50,30
149,5,20,50,30
150,5,20,50,30
151,5,20,50,30
152,5,20,50,30
153,5,20,50,30
154,5,20,50,30
155,5,20,50,30
156,5,20,50,30
157,5,20,50,30
158,5,20,50,30
159,5,20,50,30
160,5,20,50,30
161,5,20,50,30
162,5,20,50,30
163,5,20,50,30
164,5,10,40,50
165,5,20,50,30
166,5,20,50,30
167,5,20,50,30
168,5,10,40,50
169,5,20,50,30
170,5,20,50,30
171,5,20,50,30
172,5,20,50,30
173,5,20,50,30
174,5,20,50,30
175,5,10,40,50
176,5,20,50,30
177,5,20,50,30
178,5,20,50,30
179,5,20,50,30
180,5,20,50,30
181,5,20,50,30
182,5,20,50,30
183,5,20,50,30
184,5,20,50,30
185,5,20,50,30
186,5,10,40,50
187,5,20,50,30
188,5,20,50,30
189,5,20,50,30
190,5,20,50,30
191,5,20,50,30
192,5,20,50,30
193,5,20,50,30
194,5,20,50,30
195,5,20,50,30
196,5,20,50,30
197,5,20,50,30
198,5,20,50,30
199,5,20,50,30
200,5,20,50,30
