Question Number,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7
1,Compilation translates source,translates source code,source code into,code into machine,machine code creating,code creating an,
2,Polymorphism allows objects,allows objects of,objects of different,of different classes,different classes to,classes to be,
3,Encapsulation bundles data,bundles data and,data and methods,methods in a,in a class,a class restricting,
4,An abstract class,abstract class can,class can t,t be instantiated,be instantiated and,instantiated and can,
5,OOP principles include,principles include encapsulation,include encapsulation inheritance,encapsulation inheritance polymorphism,inheritance polymorphism and,polymorphism and abstraction,
6,A constructor initializes,constructor initializes object,initializes object properties,object properties upon,properties upon class,upon class instantiation,
7,Stack memory stores,memory stores local,stores local variables,local variables and,variables and function,function calls heap,
8,Design patterns are,patterns are solutions,are solutions to,solutions to common,to common design,common design problems,
9,DRY Don t,Don t Repeat,t Repeat Yourself,Repeat Yourself advocates,Yourself advocates for,advocates for avoiding,
10,SOLID represents five,represents five design,five design principles,design principles for,principles for OOP,OOP Single Responsibility,
11,An array has,array has fixed,has fixed size,fixed size and,size and stores,stores elements in,
12,Time complexity measures,complexity measures the,measures the time,time an algorithm,an algorithm takes,algorithm takes relative,
13,A binary search,binary search tree,search tree is,tree is hierarchical,is hierarchical maintaining,hierarchical maintaining order,
14,A linked list,linked list is,list is a,is a series,a series of,series of nodes,
15,Recursion is when,is when a,when a function,a function calls,function calls itself,calls itself to,
16,Big O notation,O notation describes,notation describes the,describes the upper,upper bound of,bound of algorithm,
17,Binary search divides,search divides the,divides the search,search interval in,interval in half,in half repeatedly,
18,Sorting algorithms vary,algorithms vary in,vary in time,in time space,time space complexity,space complexity and,
19,A hash table,hash table uses,table uses a,uses a hash,a hash function,hash function to,
20,Dynamic programming solves,programming solves complex,solves complex problems,complex problems by,problems by dividing,by dividing them,
21,Java is a,is a compiled,a compiled statically,compiled statically typed,statically typed language,typed language used,
22,MVC divides an,divides an application,an application into,application into Model,Model data View,data View UI,
23,RESTful API is,API is a,a web service,web service implementation,service implementation using,implementation using HTTP,
24,in JavaScript refers,JavaScript refers to,refers to the,to the execution,execution context varying,context varying based,
25,A closure is,closure is a,is a function,a function with,function with access,access to its,
26,Python 3 has,3 has print,has print as,print as a,as a function,a function true,
27,Package managers manage,managers manage installation,manage installation update,installation update and,update and dependency,dependency resolution of,
28,Multi threading in,threading in Java,in Java allows,Java allows concurrent,allows concurrent execution,concurrent execution of,
29,Singleton ensures a,ensures a class,a class has,class has only,has only one,only one instance,
30,Virtual functions in,functions in C,in C allow,C allow derived,allow derived classes,derived classes to,
31,A database index,database index speeds,index speeds up,speeds up data,up data retrieval,data retrieval similar,
32,SQL databases use,databases use structured,use structured query,structured query language,query language with,language with a,
33,A foreign key,foreign key links,key links two,links two tables,two tables by,tables by referring,
34,ACID Atomicity indivisible,Atomicity indivisible transactions,indivisible transactions Consistency,transactions Consistency consistent,Consistency consistent state,consistent state transitions,
35,Optimize using indexes,using indexes efficient,indexes efficient SQL,efficient SQL limiting,SQL limiting data,limiting data retrieval,
36,Normalization organizes data,organizes data into,data into separate,separate tables to,tables to reduce,to reduce redundancy,
37,INNER JOIN returns,JOIN returns matching,returns matching rows,matching rows from,rows from both,both tables LEFT,
38,Stored procedures are,procedures are precompiled,are precompiled SQL,precompiled SQL statements,SQL statements for,statements for data,
39,Denormalization introduces redundancy,introduces redundancy for,redundancy for performance,performance useful in,useful in read,in read heavy,
40,ORM simplifies database,simplifies database interactions,database interactions and,interactions and is,is language agnostic,language agnostic It,
41,DOM is a,is a tree,a tree like,tree like representation,like representation of,representation of a,
42,HTTP is an,is an unsecured,an unsecured data,unsecured data transmission,data transmission protocol,transmission protocol HTTPS,
43,CORS is a,is a security,a security measure,security measure allowing,measure allowing or,allowing or restricting,
44,Web servers handle,servers handle HTTP,handle HTTP requests,HTTP requests serve,requests serve content,serve content manage,
45,Cookies are data,are data stored,data stored on,stored on the,on the user,user s computer,
46,A session maintains,session maintains stateful,maintains stateful information,stateful information across,information across multiple,across multiple HTTP,
47,Responsive design ensures,design ensures web,ensures web content,web content functions,content functions across,functions across different,
48,GET requests retrieve,requests retrieve data,retrieve data and,data and include,include parameters in,parameters in the,
49,SEO enhances a,enhances a website,a website s,website s visibility,s visibility in,visibility in search,
50,Browsers parse HTML,parse HTML to,HTML to create,to create a,create a DOM,a DOM fetch,
51,Unit testing evaluates,testing evaluates individual,evaluates individual code,individual code components,code components ensuring,components ensuring correctness,
52,Black box tests,box tests functionality,tests functionality without,functionality without internal,without internal code,internal code knowledge,
53,Regression testing ensures,testing ensures new,ensures new code,new code changes,code changes don,changes don t,
54,Code reviews identify,reviews identify defects,identify defects improve,defects improve quality,improve quality enforce,quality enforce standards,
55,CI involves frequent,involves frequent code,frequent code integration,code integration and,integration and testing,testing CD extends,
56,Code coverage measures,coverage measures the,measures the extent,extent of code,of code tested,code tested assessing,
57,A test case,test case outlines,case outlines test,outlines test conditions,test conditions inputs,conditions inputs and,
58,Load testing evaluates,testing evaluates system,evaluates system performance,system performance under,performance under expected,under expected load,
59,Manual testing is,testing is human,is human driven,human driven suitable,driven suitable for,suitable for exploratory,
60,A bug tracking,bug tracking system,tracking system logs,system logs manages,logs manages and,manages and resolves,
61,Git is a,is a distributed,a distributed version,distributed version control,version control system,control system for,
62,Git is distributed,is distributed with,distributed with local,local repository copies,repository copies SVN,copies SVN is,
63,Merge conflicts occur,conflicts occur when,occur when changes,when changes in,changes in different,in different branches,
64,Branching isolates development,isolates development work,development work without,work without affecting,without affecting other,affecting other parts,
65,A PR is,PR is a,is a request,a request to,request to merge,to merge code,
66,Resolve code conflicts,code conflicts through,conflicts through communication,through communication careful,communication careful review,careful review manual,
67,Refactoring improves code,improves code structure,code structure and,structure and readability,readability without altering,without altering functionality,
68,GitFlow organizes branches,organizes branches and,branches and releases,releases defining naming,defining naming conventions,naming conventions and,
69,Git rebase re,rebase re applies,re applies commits,applies commits onto,commits onto another,onto another base,
70,Distributed systems allow,systems allow offline,allow offline work,offline work flexible,work flexible branching,flexible branching merging,
71,Microservices architecture consists,architecture consists of,consists of small,of small independent,small independent services,independent services communicating,
72,A load balancer,load balancer distributes,balancer distributes incoming,distributes incoming traffic,incoming traffic across,traffic across servers,
73,Caching stores frequently,stores frequently accessed,frequently accessed data,accessed data for,data for faster,faster retrieval reducing,
74,A CDN is,CDN is a,is a network,a network of,network of servers,of servers for,
75,Monolithic is simple,is simple but,simple but less,but less scalable,less scalable microservices,scalable microservices offer,
76,Stateless services don,services don t,don t retain,t retain client,retain client data,client data between,
77,CAP theorem states,theorem states that,states that in,in a distributed,a distributed system,distributed system you,
78,Ensure consistency using,consistency using strong,using strong consistency,strong consistency models,consistency models two,models two phase,
79,A reverse proxy,reverse proxy routes,proxy routes client,routes client requests,client requests to,requests to appropriate,
80,A message broker,message broker facilitates,broker facilitates communication,facilitates communication in,communication in distributed,in distributed systems,
